date,ticker,close,volume,vwap
2020-10-19,AAL,12.56,50560700,12.66
2020-10-20,AAL,12.8,46748762,12.8
2020-10-21,AAL,12.745,37503569,12.71
2020-10-22,AAL,13.15,90788939,12.88
2020-10-23,AAL,12.6,90709174,12.64
2020-10-26,AAL,11.8,85348599,11.95
2020-10-27,AAL,11.23,65803386,11.45
2020-10-28,AAL,10.95,64399820,10.91
2020-10-29,AAL,11.16,44070630,11.11
2020-10-30,AAL,11.28,51348328,11.21
2020-11-02,AAL,11.19,41094537,11.1
2020-11-03,AAL,11.25,43767140,11.26
2020-11-04,AAL,11.005,45281334,11.13
2020-11-05,AAL,11.6,54890789,11.45
2020-11-06,AAL,11.46,36703682,11.38
2020-11-09,AAL,13.2,231326211,13.46
2020-11-10,AAL,12.38,127529338,12.72
2020-11-11,AAL,12.04,81359582,12.14
2020-11-12,AAL,11.74,75726783,11.92
2020-11-13,AAL,12.24,56775114,12.08
2020-11-16,AAL,12.79,104867799,12.78
2020-11-17,AAL,12.7,61956503,12.57
2020-11-18,AAL,12.74,99888521,13.08
2020-11-19,AAL,12.79,58809388,12.78
2020-11-20,AAL,12.53,58534528,12.61
2020-11-23,AAL,13.56,100763995,13.17
2020-11-24,AAL,14.82,156500970,14.65
2020-11-25,AAL,14.94,101052472,14.8
2020-11-27,AAL,14.98,66066370,15.25
2020-11-30,AAL,14.13,97536336,14.34
2020-12-01,AAL,14.27,76386633,14.52
2020-12-02,AAL,14.86,76032751,14.56
2020-12-03,AAL,16.09,169287160,16.06
2020-12-04,AAL,16.4,117387572,16.41
2020-12-07,AAL,17.21,157230777,17.38
2020-12-08,AAL,17.63,95855351,17.5
2020-12-09,AAL,17.16,138508325,17.68
2020-12-10,AAL,17.99,86395155,17.61
2020-12-11,AAL,17.05,106957296,17.27
2020-12-14,AAL,16.7,88139884,17.17
2020-12-15,AAL,17.01,89217037,16.68
2020-12-16,AAL,16.86,59232622,16.8
2020-12-17,AAL,16.8,49386336,16.79
2020-12-18,AAL,16.51,74782781,16.48
2020-12-21,AAL,16.1,87239567,15.96
2020-12-22,AAL,15.48,75439216,15.71
2020-12-23,AAL,15.89,62603762,15.91
2020-12-24,AAL,15.66,31048907,15.68
2020-12-28,AAL,16.06,61098341,16.16
2020-12-29,AAL,15.86,51559537,16.01
2020-12-30,AAL,16.15,49520154,16.01
2020-12-31,AAL,15.77,57891084,15.8
2021-01-04,AAL,15.13,69732465,15.24
2021-01-05,AAL,15.43,53368182,15.32
2021-01-06,AAL,15.52,63707974,15.49
2021-01-07,AAL,15.38,48187872,15.6
2021-01-08,AAL,15.13,55656357,15.22
2021-01-11,AAL,15.0,40701329,14.92
2021-01-12,AAL,15.38,45742438,15.19
2021-01-13,AAL,15.53,42539315,15.38
2021-01-14,AAL,16.44,79900858,16.3
2021-01-15,AAL,15.76,55175843,15.93
2021-01-19,AAL,15.97,39740241,16.05
2021-01-20,AAL,16.17,42354452,16.11
2021-01-21,AAL,15.83,50726587,15.81
2021-01-22,AAL,15.82,39126567,15.64
2021-01-25,AAL,15.43,61789003,15.31
2021-01-26,AAL,15.53,44571079,15.5
2021-01-27,AAL,16.56,178245445,17.05
2021-01-28,AAL,18.1,319601630,20.21
2021-01-29,AAL,17.17,113004214,17.67
2021-02-01,AAL,16.84,49436027,16.77
2021-02-02,AAL,16.59,39287766,16.77
2021-02-03,AAL,17.6,61414802,17.35
2021-02-04,AAL,17.4,37606820,17.46
2021-02-05,AAL,17.19,30910225,17.35
2021-02-08,AAL,17.77,44177522,17.78
2021-02-09,AAL,17.44,29972940,17.48
2021-02-10,AAL,17.41,28503035,17.48
2021-02-11,AAL,16.99,38746350,17.03
2021-02-12,AAL,17.27,27522539,17.22
2021-02-16,AAL,17.82,33615509,17.7
2021-02-17,AAL,17.99,35650701,17.97
2021-02-18,AAL,17.71,26328174,17.69
2021-02-19,AAL,18.68,48663754,18.54
2021-02-22,AAL,20.44,99937738,20.47
2021-02-23,AAL,20.66,78817583,20.29
2021-02-24,AAL,21.82,74610191,21.59
2021-02-25,AAL,20.86,65571016,21.11
2021-02-26,AAL,20.94,42397278,20.87
2021-03-01,AAL,21.18,45406096,21.62
2021-03-02,AAL,21.44,27558175,21.43
2021-03-03,AAL,22.17,49301252,22.19
2021-03-04,AAL,21.24,61124170,21.36
2021-03-05,AAL,20.45,63183882,20.06
2021-03-08,AAL,21.47,39776852,21.3
2021-03-09,AAL,21.6,39820358,21.33
2021-03-10,AAL,21.75,44224852,21.83
2021-03-11,AAL,22.15,39002426,22.18
2021-03-12,AAL,23.37,55230300,23.12
2021-03-15,AAL,25.17,94133688,25.18
2021-03-16,AAL,24.47,47923579,24.73
2021-03-17,AAL,25.16,38540131,24.75
2021-03-18,AAL,24.7,53368955,25.29
2021-03-19,AAL,24.97,49461004,24.57
2021-03-22,AAL,23.83,42676036,24.03
2021-03-23,AAL,22.27,55290735,22.68
2021-03-24,AAL,21.81,44703867,22.54
2021-03-25,AAL,22.77,49746885,22.13
2021-03-26,AAL,22.93,36972430,22.82
2021-03-29,AAL,22.91,30599597,22.82
2021-03-30,AAL,24.12,39741025,23.78
2021-03-31,AAL,23.9,29800342,23.86
2021-04-01,AAL,23.86,25956190,23.86
2021-04-05,AAL,24.23,33657043,24.51
2021-04-06,AAL,24.06,31099364,24.13
2021-04-07,AAL,23.93,27792505,24.13
2021-04-08,AAL,23.65,28606562,23.45
