date,ticker,d2c,shorts,volume
2017-12-29,AAL,5.62,19439084,3458654
2018-01-12,AAL,3.58,19566806,5459453
2018-01-31,AAL,3.48,21118458,6063380
2018-02-15,AAL,3.77,19693890,5217195
2018-02-28,AAL,5.07,21916708,4325367
2018-03-15,AAL,5.82,23722652,4072799
2018-05-15,AAL,4.27,26604344,6225927
2018-05-31,AAL,5.12,28629550,5594975
2018-06-15,AAL,5.09,28343821,5567323
2018-06-29,AAL,4.52,29109611,6442669
2018-07-13,AAL,3.89,32835765,8437483
2018-07-31,AAL,4.29,29612624,6907825
2018-08-15,AAL,5.92,29783916,5030202
2018-08-31,AAL,4.33,26090365,6024706
2018-09-14,AAL,4.6,26423634,5742152
2018-09-28,AAL,4.07,26376487,6474993
2018-10-15,AAL,2.67,30503910,11407777
2018-10-31,AAL,2.7,33402262,12365425
2018-11-15,AAL,2.9,26805787,9234393
2018-11-30,AAL,2.89,23444799,8113503
2018-12-14,AAL,2.55,24274112,9524843
2018-12-31,AAL,3.28,26231377,8009384
2019-01-15,AAL,2.6,24108578,9281489
2019-01-31,AAL,2.33,25455862,10905518
2019-02-15,AAL,3.85,25029379,6500397
2019-02-28,AAL,2.93,20814028,7110730
2019-03-15,AAL,2.41,19676771,8159491
2019-03-29,AAL,3.45,21701140,6287804
2019-04-15,AAL,3.2,23003563,7184027
2019-04-30,AAL,4.47,22148313,4951703
2019-05-15,AAL,4.04,20867364,5163828
2019-05-31,AAL,3.29,22769050,6910308
2019-06-14,AAL,3.34,22352186,6698664
2019-06-28,AAL,3.88,22353620,5757533
2019-07-15,AAL,3.78,20312568,5377304
2019-07-31,AAL,3.31,20607279,6227212
2019-08-15,AAL,2.97,23327191,7853427
2019-08-30,AAL,3.17,23694038,7469683
2019-09-13,AAL,3.57,25056900,7010950
2019-09-30,AAL,3.73,26811937,7185690
2019-10-15,AAL,3.47,26497244,7628800
2019-10-31,AAL,3.89,35648881,9164006
2019-11-15,AAL,6.43,38265398,5952497
2019-11-29,AAL,7.37,40625178,5511377
2019-12-13,AAL,7.3,42017662,5759065
2019-12-31,AAL,6.91,41332800,5979443
2020-01-15,AAL,5.86,42655910,7276111
2020-01-31,AAL,3.24,40246281,12428947
2020-02-14,AAL,3.69,31123103,8429511
2020-02-28,AAL,2.38,45618695,19186751
2020-03-13,AAL,1.6,66355779,41450367
2020-03-31,AAL,1.0,55241201,65484336
2020-04-15,AAL,1.04,81535899,78303570
2020-04-30,AAL,1.76,119303588,67959231
2020-05-15,AAL,2.2,147614916,67115647
2020-05-29,AAL,2.13,126978230,59708157
2020-06-15,AAL,1.0,129264325,158995460
2020-06-30,AAL,1.36,143689854,105363307
2020-07-15,AAL,2.06,150196852,72774831
2020-07-31,AAL,2.67,158824795,59398415
2020-08-14,AAL,1.91,150875011,78804582
2020-08-31,AAL,2.71,151581485,55870117
2020-09-15,AAL,2.65,150933609,56978138
2020-09-30,AAL,3.29,156636015,47601007
2020-10-15,AAL,2.66,157947670,59483966
2020-10-30,AAL,3.14,172765872,55107304
2020-11-13,AAL,1.93,141817804,73589497
2020-11-30,AAL,1.76,141848467,80739188
2020-12-15,AAL,1.59,160823723,101002470
2020-12-31,AAL,3.13,171336981,54682584
2021-01-15,AAL,3.06,152632087,49881830
2021-01-29,AAL,1.13,97372491,86164326
2021-02-12,AAL,2.23,80222948,35915035
2021-02-26,AAL,1.49,76349014,51413003
2021-03-15,AAL,1.75,73850983,42229762
2021-03-31,AAL,1.93,78767115,40710631
2021-04-15,AAL,3.15,86313185,27405923
2021-04-30,AAL,2.5,90791904,36339502
2021-05-14,AAL,2.93,84496920,28844040
2021-05-28,AAL,2.65,83756250,31641606
2021-06-15,AAL,2.76,81067596,29404738
2021-06-30,AAL,3.37,89581312,26617246
2021-07-15,AAL,3.17,91490076,28871308
2021-07-30,AAL,2.32,83947070,36109839
2021-08-13,AAL,2.75,90551765,32973319
2021-08-31,AAL,3.91,102606597,26249420
2021-09-15,AAL,3.18,97302382,30569002
2021-09-30,AAL,2.63,90225324,34339212
2021-10-15,AAL,3.31,90155881,27261807
2021-10-29,AAL,3.51,95586408,27270113
2021-11-15,AAL,2.37,72512021,30543563
2021-11-30,AAL,2.62,98852946,37761527
2021-12-15,AAL,2.07,102466793,49398182
2021-12-31,AAL,2.92,94009375,32183749
2022-01-14,AAL,2.4,85910105,35742135
2022-01-31,AAL,2.19,99736816,45453393
2022-02-15,AAL,2.11,85982026,40835012
2022-02-28,AAL,2.22,85388260,38491758
2022-03-15,AAL,1.64,107079664,65113871
2022-03-31,AAL,2.28,92673521,40625184
2022-04-14,AAL,2.45,92187959,37704257
2022-04-29,AAL,2.12,82687055,39014704
2022-05-13,AAL,2.49,84424604,33963040
2022-05-31,AAL,2.87,86820513,30262451
2022-06-15,AAL,2.42,89898867,37158045
2022-06-30,AAL,2.13,82820725,38888358
2022-07-15,AAL,2.0,77025213,38420545
2022-07-29,AAL,2.27,80568807,35473161
2022-08-15,AAL,2.8,72812357,26002536
2022-08-31,AAL,3.21,77580601,24180108
2022-09-15,AAL,2.81,80135453,28473285
2022-09-30,AAL,2.35,85910127,36557079
2022-10-14,AAL,2.12,86287305,40695500
2022-10-31,AAL,2.41,86494438,35925592
2022-11-15,AAL,3.37,91398791,27137045
2022-11-30,AAL,3.87,86500008,22360508
2022-12-15,AAL,2.97,82137120,27641093
2022-12-30,AAL,4.12,89809671,21817703
2023-01-13,AAL,2.3,89509418,38875971
2023-01-31,AAL,2.83,83755982,29608454
2023-02-15,AAL,3.68,72374027,19657727
2023-02-28,AAL,3.14,62797137,20011740
2023-03-15,AAL,2.74,58555191,21394877
2023-03-31,AAL,3.01,59495122,19791993
2023-04-14,AAL,2.2,66281716,30073642
2023-04-28,AAL,2.27,69945489,30769080
2023-05-15,AAL,2.86,62193100,21759204
2023-05-31,AAL,2.52,64331669,25496270
2023-06-15,AAL,2.97,63593527,21422948
2023-06-30,AAL,3.05,67911978,22275357
2023-07-14,AAL,3.03,67806794,22405545
2023-07-31,AAL,2.41,63229159,26240072
2023-08-15,AAL,2.69,65916912,24496001
2023-08-31,AAL,3.18,64752208,20360647
2023-09-15,AAL,3.11,82194796,26387706
2023-09-29,AAL,2.8,76447264,27260526
2023-10-13,AAL,1.7,71215180,41786356
2023-10-31,AAL,2.26,100663327,44567687
2023-11-15,AAL,2.18,73607306,33789274
2023-11-30,AAL,2.34,67650965,28968906
2023-12-15,AAL,1.55,62703995,40473298
2023-12-29,AAL,2.43,58639828,24172976
2024-01-12,AAL,1.16,48995330,42180096
2024-01-31,AAL,1.0,40802414,45866643
2024-02-15,AAL,1.38,41435483,29973858
2024-02-29,AAL,1.47,37805747,25670443
2024-03-15,AAL,1.4,45562853,32502265
2024-03-28,AAL,1.66,40560830,24429700
2024-04-15,AAL,1.57,51721369,32855360
2024-04-30,AAL,1.47,52684995,35767828
2024-05-15,AAL,2.0,53327236,26605165
2024-05-31,AAL,2.0,83415716,41791224
2024-06-14,AAL,2.25,79211434,35145202
2024-06-28,AAL,3.26,87237350,26777431
2024-07-15,AAL,3.49,110407761,31593303
2024-07-31,AAL,1.9,83171696,43841302
2024-08-15,AAL,3.59,121642787,33857671
2024-08-30,AAL,3.96,97032916,24505446
2024-09-13,AAL,2.87,95522005,33277941
2024-09-30,AAL,1.82,84430817,46474419
2024-10-15,AAL,2.5,81867102,32750342
2024-10-31,AAL,1.89,66510760,35195779
2024-11-15,AAL,2.3,56939882,24799331
2024-11-29,AAL,2.3,47434056,20589967
2024-12-13,AAL,1.45,47221168,32478024
2024-12-31,AAL,2.36,45315671,19173195
2025-01-15,AAL,1.92,51088739,26582177
2025-01-31,AAL,1.33,51625770,38715866
2025-02-14,AAL,1.78,50861546,28642901
2025-02-28,AAL,1.45,60714575,42012502
2025-03-14,AAL,1.0,58688463,76474797
2025-03-31,AAL,1.0,51167897,53977134
2025-04-15,AAL,1.0,68723838,79405581
2025-04-30,AAL,1.1,73552177,66741088
2025-05-15,AAL,1.03,67468549,65663962
2025-05-30,AAL,1.22,66195579,54354288
2025-06-13,AAL,1.29,67243519,51989246
2025-06-30,AAL,1.34,71857987,53479992
2025-07-15,AAL,1.03,66230607,64080646
2025-07-31,AAL,1.0,62462584,73884621
2025-08-15,AAL,1.03,65052871,62978230
2025-08-29,AAL,1.05,65925377,62785118
2025-09-15,AAL,1.0,72107910,88082868
2018-10-31,ACB,2.71,72713568,26867748
2018-11-15,ACB,5.19,90258188,17383895
2018-11-30,ACB,8.57,91979462,10736161
2018-12-14,ACB,5.89,93447189,15863124
2018-12-31,ACB,8.7,86727252,9964420
2019-01-15,ACB,4.13,82892198,20094124
2019-01-31,ACB,3.07,71026773,23169076
2019-02-15,ACB,2.25,72083002,32090796
2019-02-28,ACB,3.63,77129695,21230283
2019-03-15,ACB,1.44,73111285,50719070
2019-03-29,ACB,1.91,79596640,41607884
2019-04-15,ACB,4.45,83570237,18790026
