accountingYearMonthNumber,symbolCode,issueName,issuerServicesGroupExchangeCode,marketClassCode,currentShortPositionQuantity,previousShortPositionQuantity,stockSplitFlag,averageDailyVolumeQuantity,daysToCoverQuantity,revisionFlag,changePercent,changePreviousNumber,settlementDate,date
20250915,AAL,American Airlines Group Inc. C,R,NNM,72107910,65925377,,88082868,1.0,,9.38,6182533,2025-09-15,2025-09-15
20250915,ACB,Aurora Cannabis Inc. Common Sh,R,SC,6568797,6014838,,868561,7.56,,9.21,553959,2025-09-15,2025-09-15
20250915,AG,FIRST MAJESTIC SILVER CORP,A,NYSE,22285144,18779022,,24936132,1.0,,18.67,3506122,2025-09-15,2025-09-15
20250915,AMC,"AMC ENTERTAINMENT HOLDINGS, IN",A,NYSE,44807553,46757472,,9876142,4.54,,-4.17,-1949919,2025-09-15,2025-09-15
20250915,AMD,"Advanced Micro Devices, Inc. C",R,NNM,41767201,39165658,,44203062,1.0,,6.64,2601543,2025-09-15,2025-09-15
20250915,BB,BlackBerry Limited,A,NYSE,31081320,35114855,,5866483,5.3,,-11.49,-4033535,2025-09-15,2025-09-15
20250915,BBBY,"Bed Bath & Beyond, Inc.",A,NYSE,5462155,6824798,,2724261,2.01,,-19.97,-1362643,2025-09-15,2025-09-15
20250915,BYDDY,BYD Company Ltd Unsponsored AD,S,OTC,2924322,1625786,,6201806,1.0,,79.87,1298536,2025-09-15,2025-09-15
20250915,BYND,"Beyond Meat, Inc. Common Stock",R,NNM,31264411,31116156,,1808005,17.29,,0.48,148255,2025-09-15,2025-09-15
20250915,CLOV,"Clover Health Investments, Cor",R,NNM,49278776,48326485,,5450419,9.04,,1.97,952291,2025-09-15,2025-09-15
20250915,CRIS,"Curis, Inc. Common Stock",R,SC,150163,153298,,73056,2.06,,-2.05,-3135,2025-09-15,2025-09-15
20250915,CTRM,Castor Maritime Inc. Common Sh,R,SC,38215,36686,,49007,1.0,,4.17,1529,2025-09-15,2025-09-15
20250915,EZGO,EZGO Technologies Ltd. Ordinar,R,SC,738580,542380,,12410929,1.0,,36.17,196200,2025-09-15,2025-09-15
20250915,GM,General Motors Company,A,NYSE,18928768,17913456,,6652366,2.85,,5.67,1015312,2025-09-15,2025-09-15
20250915,GME,GameStop Corp. Class A,A,NYSE,66822071,66182520,,14226993,4.7,,0.97,639551,2025-09-15,2025-09-15
20250915,GTE,Gran Tierra Energy Inc.,B,AMEX,875404,792839,,234060,3.74,,10.41,82565,2025-09-15,2025-09-15
20250915,HIMS,"Hims & Hers Health, Inc.",A,NYSE,66534489,74635929,,29826022,2.23,,-10.85,-8101440,2025-09-15,2025-09-15
20250915,INO,"Inovio Pharmaceuticals, Inc. C",R,SC,7493206,6594846,,2077758,3.61,,13.62,898360,2025-09-15,2025-09-15
20250915,JAGX,"Jaguar Health, Inc. Common Sto",R,SC,36502,66131,,114851,1.0,,-44.8,-29629,2025-09-15,2025-09-15
20250915,KOSS,Koss Corporation Common Stock,R,SC,164160,189899,,46188,3.55,,-13.55,-25739,2025-09-15,2025-09-15
