date,ticker,score
2020-10-18,AAL,16.0
2020-10-25,AAL,15.0
2020-11-01,AAL,10.0
2020-11-08,AAL,21.0
2020-11-15,AAL,18.0
2020-11-22,AAL,18.0
2020-11-29,AAL,22.0
2020-12-06,AAL,25.0
2020-12-13,AAL,20.0
2020-12-20,AAL,17.0
2020-12-27,AAL,15.0
2021-01-03,AAL,16.0
2021-01-10,AAL,15.0
2021-01-17,AAL,13.0
2021-01-24,AAL,49.0
2021-01-31,AAL,24.0
2021-02-07,AAL,17.0
2021-02-14,AAL,13.0
2021-02-21,AAL,24.0
2021-02-28,AAL,19.0
2021-03-07,AAL,18.0
2021-03-14,AAL,21.0
2021-03-21,AAL,16.0
2021-03-28,AAL,14.0
2021-04-04,AAL,14.0
2021-04-11,AAL,13.0
2021-04-18,AAL,15.0
2021-04-25,AAL,13.0
2021-05-02,AAL,11.0
2021-05-09,AAL,11.0
2021-05-16,AAL,12.0
2021-05-23,AAL,12.0
2021-05-30,AAL,11.0
2021-06-06,AAL,10.0
2021-06-13,AAL,10.0
2021-06-20,AAL,11.0
2021-06-27,AAL,10.0
2021-07-04,AAL,9.0
2021-07-11,AAL,10.0
2021-07-18,AAL,13.0
2021-07-25,AAL,9.0
2021-08-01,AAL,10.0
2021-08-08,AAL,8.0
2021-08-15,AAL,10.0
2021-08-22,AAL,9.0
2021-08-29,AAL,7.0
2021-09-05,AAL,7.0
2021-09-12,AAL,7.0
2021-09-19,AAL,8.0
2021-09-26,AAL,8.0
2021-10-03,AAL,8.0
2021-10-10,AAL,7.0
2021-10-17,AAL,7.0
2021-10-24,AAL,7.0
2021-10-31,AAL,9.0
2021-11-07,AAL,8.0
2021-11-14,AAL,7.0
2021-11-21,AAL,7.0
2021-11-28,AAL,10.0
2021-12-05,AAL,10.0
2021-12-12,AAL,8.0
2021-12-19,AAL,8.0
2021-12-26,AAL,7.0
2022-01-02,AAL,8.0
2022-01-09,AAL,6.0
2022-01-16,AAL,7.0
2022-01-23,AAL,8.0
2022-01-30,AAL,7.0
2022-02-06,AAL,9.0
2022-02-13,AAL,8.0
2022-02-20,AAL,7.0
2022-02-27,AAL,8.0
2022-03-06,AAL,10.0
2022-03-13,AAL,9.0
2022-03-20,AAL,8.0
2022-03-27,AAL,8.0
2022-04-03,AAL,7.0
2022-04-10,AAL,7.0
2022-04-17,AAL,10.0
2022-04-24,AAL,7.0
2022-05-01,AAL,5.0
2022-05-08,AAL,6.0
2022-05-15,AAL,6.0
2022-05-22,AAL,6.0
2022-05-29,AAL,5.0
2022-06-05,AAL,6.0
2022-06-12,AAL,7.0
2022-06-19,AAL,6.0
2022-06-26,AAL,6.0
2022-07-03,AAL,5.0
2022-07-10,AAL,6.0
2022-07-17,AAL,7.0
2022-07-24,AAL,6.0
2022-07-31,AAL,6.0
2022-08-07,AAL,5.0
2022-08-14,AAL,5.0
2022-08-21,AAL,5.0
2022-08-28,AAL,4.0
2022-09-04,AAL,4.0
2022-09-11,AAL,4.0
2022-09-18,AAL,5.0
2022-09-25,AAL,5.0
2022-10-02,AAL,5.0
2022-10-09,AAL,5.0
2022-10-16,AAL,6.0
2022-10-23,AAL,5.0
