date,ticker,d2c,shorts,volume,close,trend
2020-06-30,AMC,2.82,17737420,6280921,41.7829,4.0
2020-07-15,AMC,4.4,16665023,3785508,45.9812,3.0
2020-07-31,AMC,5.78,17601239,3043253,40.3835,4.0
2020-08-14,AMC,2.28,16950844,7424764,55.3773,9.0
2020-08-31,AMC,1.94,17759866,9151188,62.9742,9.0
2020-09-15,AMC,2.18,21886971,10034960,57.8763,7.0
2020-09-30,AMC,6.85,21496546,3138249,48.78,7.0
2020-10-15,AMC,2.74,22321937,8150186,40.4834,11.0
2020-10-30,AMC,1.88,23890070,12731999,23.5903,8.0
2020-11-13,AMC,1.1,29260504,26487919,29.6879,9.0
2020-11-30,AMC,1.29,33513585,26002367,44.4818,7.0
2020-12-15,AMC,1.38,38083639,27613378,39.184,7.0
2020-12-31,AMC,1.88,38993059,20697894,21.1913,9.0
2021-01-15,AMC,1.21,44671962,37005590,23.2905,7.0
2021-01-29,AMC,1.0,37716302,390644584,132.5458,100.0
2021-02-12,AMC,1.0,48134561,191894754,55.8771,22.0
2021-02-26,AMC,1.0,55490440,170187693,80.0672,28.0
2021-03-15,AMC,1.0,49306459,103335355,111.5544,26.0
2021-03-31,AMC,1.0,73824070,85845893,102.3581,21.0
2021-04-15,AMC,2.06,93888195,45557607,94.1615,15.0
2021-04-30,AMC,2.35,87551755,37214815,100.259,17.0
2021-05-14,AMC,1.57,94577063,60170367,129.7469,20.0
2021-05-28,AMC,1.0,102303320,194737611,261.0932,49.0
2021-06-15,AMC,1.0,85076339,359533859,493.798,48.0
2021-06-30,AMC,1.0,75479862,142292531,540.3789,36.0
2021-07-15,AMC,1.0,79747897,99636441,461.7111,37.0
2021-07-30,AMC,1.0,85845513,98418632,370.0486,27.0
2021-08-13,AMC,1.21,92417118,76383750,334.5631,27.0
2021-08-31,AMC,1.0,95943759,105520739,408.233,24.0
2021-09-15,AMC,1.22,97130969,79573617,501.3948,21.0
2021-09-30,AMC,1.66,91042415,54969157,399.9364,23.0
2021-10-15,AMC,2.22,92239378,41512289,407.2334,26.0
2021-10-29,AMC,2.66,94637512,35552514,353.5553,21.0
2021-11-15,AMC,2.07,87462304,42178712,399.8364,22.0
2021-11-30,AMC,3.12,83406245,26730397,376.1461,26.0
2021-12-15,AMC,1.6,96700247,60336885,274.2878,35.0
2021-12-31,AMC,1.97,94750342,48096118,271.8888,35.0
2022-01-14,AMC,2.35,97034798,41324600,205.6159,18.0
2022-01-31,AMC,1.94,107800655,55478718,150.5384,16.0
2022-02-15,AMC,1.75,104191445,59536582,188.0231,20.0
2022-02-28,AMC,2.47,101327657,41096878,176.5278,24.0
2022-03-15,AMC,3.09,104488090,33841970,142.9415,22.0
2022-03-31,AMC,1.06,101419084,95444345,202.3172,23.0
2022-04-14,AMC,2.22,99746843,44886360,180.1263,21.0
2022-04-29,AMC,3.85,100632363,26133873,152.9374,18.0
2022-05-13,AMC,2.37,108869404,46011134,118.0517,22.0
2022-05-31,AMC,1.98,109829044,55341780,144.241,27.0
2022-06-15,AMC,2.98,113005857,37870463,124.2492,27.0
2022-06-30,AMC,2.51,101375089,40389287,124.649,30.0
2022-07-15,AMC,2.52,96155658,38218788,153.6371,28.0
2022-07-29,AMC,2.87,95091742,33099933,145.5404,23.0
2022-08-15,AMC,1.28,89152605,69383841,244.4,23.0
2022-08-31,AMC,1.81,102882941,56850037,91.7,28.0
2022-09-15,AMC,3.72,100011800,26913320,97.2,15.0
2022-09-30,AMC,3.89,98918241,25448389,69.7,17.0
2022-10-14,AMC,4.02,104360202,25956941,60.0,19.0
2022-10-31,AMC,5.23,101835976,19486818,65.1,16.0
2022-11-15,AMC,3.69,111534852,30217469,72.0,22.0
2022-11-30,AMC,4.45,100109744,22508104,75.1,15.0
2022-12-15,AMC,3.12,108487434,34743768,59.4,18.0
2022-12-30,AMC,4.08,113442490,27793689,40.7,29.0
2023-01-13,AMC,4.76,116364530,24449751,50.6,20.0
2023-01-31,AMC,3.49,118266052,33924264,55.1,17.0
2023-02-15,AMC,3.17,131637788,41570955,49.0,20.0
2023-02-28,AMC,2.0,125961266,62942093,62.0,20.0
2023-03-15,AMC,4.45,127209002,28580783,53.8,22.0
2023-03-31,AMC,5.0,138836691,27747225,50.1,20.0
2023-04-14,AMC,2.85,137465578,48170947,51.2,23.0
2023-04-28,AMC,7.58,134013830,17671690,55.0,18.0
2023-05-15,AMC,5.69,105904172,18627601,52.0,18.0
2023-05-31,AMC,8.77,116800869,13319845,46.4,31.0
2023-06-15,AMC,8.49,122085549,14378134,47.7,27.0
2023-06-30,AMC,7.33,148695965,20290947,44.0,23.0
2023-07-14,AMC,7.61,150001144,19705749,43.3,31.0
