date,ticker,close,d2c,shorts,volume,trend_score,news_volume,wiki_views
2020-08-14,AA,14.64,2.57,15596730,6075805,0.0,34,3
2020-08-31,AA,14.62,3.88,13035710,3358959,0.0,20,6
2020-09-15,AA,13.78,3.48,12782965,3677581,0.0,19,15
2020-09-30,AA,11.63,2.36,12587689,5328743,0.0,38,2
2020-10-15,AA,12.3,2.05,11134193,5444408,0.0,36,7
2020-10-30,AA,12.92,2.13,10067753,4728732,57.0,20,11
2020-11-13,AA,16.57,1.96,9765144,4985684,50.5,11,5
2020-11-30,AA,19.9,1.77,9198080,5195948,56.0,18,7
2020-12-15,AA,22.17,1.69,9927748,5870555,53.5,21,4
2020-12-31,AA,23.05,2.32,8818171,3796967,57.5,23,7
2021-01-15,AA,23.28,2.49,8761436,3524570,55.0,23,19
2021-01-29,AA,18.0,1.33,11147506,8381441,55.0,35,4
2021-02-12,AA,21.66,1.7,10304058,6049678,56.0,20,4
2021-02-26,AA,24.55,1.76,10177183,5793302,57.5,20,5
2021-03-15,AA,31.04,1.49,10978374,7387584,59.0,25,9
2021-03-31,AA,32.49,1.53,9845923,6440299,58.0,20,12
2021-04-15,AA,32.84,2.07,9508674,4593872,60.5,22,15
2021-04-30,AA,36.64,1.3,9296474,7136282,63.0,13,21
2021-05-14,AA,39.7,1.59,10165271,6382769,65.5,9,48
2021-05-28,AA,39.67,1.48,9520383,6449017,68.5,9,24
2021-06-15,AA,36.29,1.86,10000722,5371918,73.5,8,38
2021-06-30,AA,36.84,1.0,10384553,10449522,76.5,18,48
2021-07-15,AA,34.54,1.67,11429530,6863086,74.0,18,47
2021-07-30,AA,40.15,1.28,12014472,9369241,71.0,5,61
2021-08-13,AA,45.25,1.86,12320038,6635761,72.5,8,58
2021-08-31,AA,44.37,1.55,11076576,7162338,65.5,9,74
2021-09-15,AA,51.68,1.52,12203174,8004019,64.0,15,32
2021-09-30,AA,48.94,1.14,9372080,8219685,66.0,18,34
2021-10-15,AA,56.0,1.05,9237002,8762755,70.5,27,35
2021-10-29,AA,45.95,1.0,8297605,9158215,71.5,6,22
2021-11-15,AA,50.63,1.08,9764338,9010177,71.5,13,28
2021-11-30,AA,46.53,1.47,9726838,6600504,73.0,9,30
2021-12-15,AA,50.97,1.39,11109105,7995399,77.5,13,32
2021-12-31,AA,59.58,1.53,14748699,9663619,78.5,8,49
2022-01-14,AA,61.39,1.81,11334062,6248216,79.0,8,17
2022-01-31,AA,56.71,1.1,9686735,8770038,81.5,15,41
2022-02-15,AA,74.04,1.15,9860636,8564269,83.5,8,154
2022-02-28,AA,75.34,1.19,9342675,7826816,85.0,14,34
2022-03-15,AA,73.71,1.0,8029753,11051904,87.0,16,22
2022-03-31,AA,90.03,1.31,8932476,6823214,82.0,18,43
2022-04-14,AA,87.77,1.58,8013473,5067033,82.5,20,27
2022-04-29,AA,67.8,1.0,8218041,9189224,78.5,22,45
2022-05-13,AA,58.33,1.1,7862464,7163786,82.5,18,37
2022-05-31,AA,61.72,1.12,8673199,7736539,85.0,8,36
2022-06-15,AA,51.11,1.7,10543966,6218974,90.0,13,24
2022-06-30,AA,45.58,1.76,11317506,6448070,89.5,7,21
2022-07-15,AA,43.06,1.58,9341309,5897188,86.0,11,16
2022-07-29,AA,50.89,1.11,7558219,6806295,86.0,11,23
2022-08-15,AA,51.7,1.63,7815548,4782673,86.0,5,20
2022-08-31,AA,49.48,2.14,10927858,5115257,82.5,10,21
2022-09-15,AA,43.14,1.46,9651790,6613511,75.5,13,13
2022-09-30,AA,33.66,1.07,9747197,9140997,76.0,8,9
2022-10-14,AA,38.35,1.0,8137563,8266633,77.5,11,17
2022-10-31,AA,39.03,1.0,8646262,9876218,74.5,12,7
2022-11-15,AA,49.21,1.47,10557332,7185550,76.0,5,12
2022-11-30,AA,50.13,1.36,6574285,4849578,75.0,2,19
2022-12-15,AA,43.27,1.55,6540401,4229227,77.0,4,17
