date,ticker,marketCap
2020-07-31,A,29669640000.0
2021-04-30,A,40492919999.0
2022-04-29,A,35661730000.0
2023-05-01,A,40007520000.0
2024-04-30,A,39741600000.0
2025-04-30,A,30666000000.0
2020-07-31,AA,2417000378.0
2021-04-30,AA,6851680000.0
2022-04-29,AA,12339600000.0
2023-05-01,AA,6634060000.0
2024-04-30,AA,6325200000.0
2025-04-30,AA,6353270000.0
2020-07-31,AAL,5660624880.0
2021-04-30,AAL,13990351560.0
2022-04-29,AAL,12206994420.0
2023-05-01,AAL,9078531780.0
2024-04-30,AAL,8875597150.0
2025-04-30,AAL,6555856000.0
2021-04-30,AAN,1044452680.0
2022-04-29,AAN,632878310.0
2023-05-01,AAN,409417530.0
2024-04-30,AAN,212724350.0
2020-07-31,AAOI,323197369.0
2021-04-30,AAOI,196078136.0
2022-04-29,AAOI,70963649.0
2023-05-01,AAOI,53669181.0
2024-04-30,AAOI,360007650.0
2025-04-30,AAOI,589069030.0
2020-07-31,AAON,2064291764.0
2021-04-30,AAON,2286595367.0
2022-04-29,AAON,1743474351.0
2023-05-01,AAON,5314753973.0
2024-04-30,AAON,7695789709.0
2025-04-30,AAON,7435981475.0
2020-07-31,AAP,10354405100.0
2021-04-30,AAP,12959359200.0
2022-04-29,AAP,12068032760.0
2023-05-01,AAP,7459316970.0
2024-04-30,AAP,4352016340.0
2025-04-30,AAP,1963200000.0
2020-07-31,AAPL,1812542913720.0
2021-04-30,AAPL,2186097111660.0
2022-04-29,AAPL,2548088279250.0
2023-05-01,AAPL,2662158358260.0
2024-04-30,AAPL,2603923451930.0
2025-04-30,AAPL,3186242425000.0
2020-07-31,AAT,1615279698.0
2021-04-30,AAT,2102501834.0
2022-04-29,AAT,2789717148.0
2023-05-01,AAT,1080827393.0
2024-04-30,AAT,1287616813.0
2025-04-30,AAT,1138115058.0
2020-07-31,AAWW,1361110800.0
2021-04-30,AAWW,1970137010.0
2022-04-29,AAWW,2321830260.0
2023-03-17,AAWW,3518240880.0
2020-07-31,ABBV,167895790000.0
2021-04-30,ABBV,197243500000.0
2022-04-29,ABBV,259977600000.0
2023-05-01,ABBV,271605570000.0
2024-04-30,ABBV,287710160000.0
2025-04-30,ABBV,345717200000.0
2020-07-31,ABC,20448177860.0
2021-04-30,ABC,24903644800.0
2022-04-29,ABC,31602211650.0
2023-05-01,ABC,33749789710.0
2020-07-31,ABCB,1597851480.0
2021-04-30,ABCB,3759092730.0
2022-04-29,ABCB,2882971200.0
2023-05-01,ABCB,2256662900.0
2024-04-30,ABCB,3267763520.0
2025-04-30,ABCB,4030801000.0
2020-07-31,ABG,1922880000.0
2021-04-30,ABG,3833173000.0
2022-04-29,ABG,4059991000.0
2023-05-01,ABG,4145097000.0
2024-04-30,ABG,4225824000.0
2025-04-30,ABG,4275543999.0
2020-07-31,ABM,2405300000.0
2021-04-30,ABM,3470175000.0
2022-04-29,ABM,3243744000.0
2023-05-01,ABM,2821065000.0
2024-04-30,ABM,2757470000.0
2025-04-30,ABM,3055998000.0
2020-07-31,ABMD,13528493760.0
2021-04-30,ABMD,14532597030.0
2022-04-29,ABMD,13060883500.0
2021-04-30,ABNB,105653442690.0
2022-04-29,ABNB,97747980000.0
2023-05-01,ABNB,77101700000.0
2024-04-30,ABNB,100691950000.0
2025-04-30,ABNB,75712320000.0
2021-07-01,ABOS,769158519.0
2022-04-29,ABOS,156318755.0
2023-05-01,ABOS,161638744.0
2024-04-30,ABOS,193456885.0
2025-04-30,ABOS,67906313.0
2020-07-31,ABR,1159280084.0
2021-04-30,ABR,2391435642.0
2022-04-29,ABR,2788056110.0
2023-05-01,ABR,2038151407.0
2024-04-30,ABR,2420453926.0
2025-04-30,ABR,2191400747.0
2021-07-22,ABSI,1582358907.0
2022-04-29,ABSI,535856739.0
2023-05-01,ABSI,114784725.0
2024-04-30,ABSI,471124398.0
2025-04-30,ABSI,352834983.0
2020-07-31,ABT,178370469511.0
2021-04-30,ABT,212879907267.0
2022-04-29,ABT,198763440830.0
2023-05-01,ABT,193371288490.0
2024-04-30,ABT,183760071657.0
2025-04-30,ABT,228449015000.0
2020-07-31,ABTX,498507210.0
2021-04-30,ABTX,800038800.0
2022-04-29,ABTX,838855800.0
2020-07-31,ABUS,302847161.0
2021-04-30,ABUS,336138223.0
2022-04-29,ABUS,346587611.0
2023-05-01,ABUS,418479475.0
2024-04-30,ABUS,479457756.0
2025-04-30,ABUS,674370396.0
2020-07-31,ACA,2030782000.0
2021-04-30,ACA,2899949000.0
2022-04-29,ACA,2585499000.0
2023-05-01,ACA,3368325000.0
2024-04-30,ACA,3694572000.0
2025-04-30,ACA,3899408999.0
2020-07-31,ACAD,6573422530.0
2021-04-30,ACAD,3298255760.0
2022-04-29,ACAD,2980899760.0
2023-05-01,ACAD,3555211500.0
2024-04-30,ACAD,2754008520.0
2025-04-30,ACAD,2431411000.0
2020-07-31,ACC,4905207723.0
2021-04-30,ACC,6241179873.0
2022-04-29,ACC,9122750119.0
2020-07-31,ACCD,1071465528.0
2021-04-30,ACCD,2921800834.0
2022-04-29,ACCD,387746827.0
2023-05-01,ACCD,952803521.0
2024-04-30,ACCD,590200215.0
2025-04-08,ACCD,566140395.0
2020-07-31,ACCO,616140000.0
2021-04-30,ACCO,819390000.0
2022-04-29,ACCO,705146000.0
2023-05-01,ACCO,432162000.0
2024-04-30,ACCO,466576000.0
2025-04-30,ACCO,360138000.0
2020-07-31,ACEL,661452150.0
2021-04-30,ACEL,1213276320.0
2022-04-29,ACEL,1092240240.0
2023-05-01,ACEL,783412560.0
2024-04-30,ACEL,916092690.0
2025-04-30,ACEL,862594100.0
2020-07-31,ACGL,12387652413.0
2021-04-30,ACGL,15794390493.0
2022-04-29,ACGL,16861364000.0
2023-05-01,ACGL,27984330000.0
2024-04-30,ACGL,34693986000.0
2025-04-30,ACGL,35169135059.0
2020-07-31,ACHC,2620626910.0
2021-04-30,ACHC,5412254640.0
2022-04-29,ACHC,6090465120.0
2023-05-01,ACHC,6419512440.0
2024-04-30,ACHC,6774974320.0
2025-04-30,ACHC,2144703599.0
2021-04-30,ACHR,2391897526.0
2022-04-29,ACHR,1097466889.0
2023-05-01,ACHR,509567782.0
2024-04-30,ACHR,1296200248.0
2025-04-30,ACHR,3311350579.0
2020-07-31,ACHV,44832504.0
2021-04-30,ACHV,79744574.0
2022-04-29,ACHV,66858741.0
2023-05-01,ACHV,163627705.0
2024-04-30,ACHV,150659132.0
2025-04-30,ACHV,89728043.0
2020-07-31,ACI,7092678000.0
2021-04-30,ACI,8636907000.0
2022-04-29,ACI,16056024000.0
2023-05-01,ACI,12053437000.0
2024-04-30,ACI,11803440000.0
2025-04-30,ACI,12594540000.0
2020-07-31,ACIW,3122588820.0
2021-04-30,ACIW,4447386040.0
2022-04-29,ACIW,3167157780.0
2023-05-01,ACIW,2747165150.0
2024-04-30,ACIW,3641845900.0
2025-04-30,ACIW,5608349440.0
2020-07-31,ACLS,984893340.0
2021-04-30,ACLS,1398605810.0
2022-04-29,ACLS,1802077200.0
2023-05-01,ACLS,4034274750.0
2024-04-30,ACLS,3378685656.0
2025-04-30,ACLS,1588127520.0
2022-04-29,ACLX,400144807.0
2023-05-01,ACLX,2108028056.0
2024-04-30,ACLX,2676915688.0
2025-04-30,ACLX,3487426793.0
2020-07-31,ACM,5791123800.0
2021-04-30,ACM,9706020870.0
2022-04-29,ACM,9921300480.0
2023-05-01,ACM,11600135010.0
2024-04-30,ACM,12561514160.0
2025-04-30,ACM,13071125000.0
2020-07-31,ACMR,1746294411.0
2021-04-30,ACMR,1510004114.0
2022-04-29,ACMR,989382809.0
2023-05-01,ACMR,559448711.0
2024-04-30,ACMR,1586791976.0
2025-04-30,ACMR,1222604222.0
2020-07-31,ACN,142934846646.0
2021-04-30,ACN,184190032257.0
2022-04-29,ACN,190052622399.0
2023-05-01,ACN,176463554966.0
2024-04-30,ACN,189077781572.0
2025-04-30,ACN,186772507600.0
2020-07-31,ACNB,179109254.0
2021-04-30,ACNB,239691732.0
2022-04-29,ACNB,298006174.0
2023-05-01,ACNB,249154630.0
2024-04-30,ACNB,276663800.0
2025-04-30,ACNB,410981991.0
2020-07-31,ACRE,304370872.0
2021-04-30,ACRE,605295423.0
2022-04-29,ACRE,761977764.0
2023-05-01,ACRE,463581650.0
2024-04-30,ACRE,367417383.0
2025-04-30,ACRE,221807067.0
2022-04-29,ACT,3839814359.0
2023-05-01,ACT,3926480120.0
2024-04-30,ACT,4721659140.0
2025-04-30,ACT,5434031490.0
2020-07-31,ACTG,191932824.0
2021-04-30,ACTG,296272441.0
2022-04-29,ACTG,206306895.0
2023-05-01,ACTG,225457624.0
2024-04-30,ACTG,487388640.0
2025-04-30,ACTG,306570750.0
2021-04-30,ACVA,5253909927.0
2022-04-29,ACVA,2091994848.0
2023-05-01,ACVA,2147978072.0
2024-04-30,ACVA,2812494484.0
2025-04-30,ACVA,2445660433.0
2020-07-31,ADBE,213273600000.0
2021-04-30,ADBE,242986520000.0
2022-04-29,ADBE,186888400000.0
2023-05-01,ADBE,171360700000.0
2024-04-30,ADBE,207810670000.0
2025-04-30,ADBE,161991360000.0
2020-07-31,ADC,3597759393.0
2021-04-30,ADC,4561859834.0
2022-04-29,ADC,5096575526.0
2023-05-01,ADC,6272761376.0
2024-04-30,ADC,5738284125.0
2025-04-30,ADC,8308038508.0
2020-07-31,ADCT,3297514950.0
2021-04-30,ADCT,1882922641.0
2022-04-29,ADCT,905250862.0
2023-05-01,ADCT,159683408.0
2024-04-30,ADCT,421998390.0
2025-04-30,ADCT,150717248.0
2021-08-06,ADGI,1279883155.0
2022-04-29,ADGI,309357305.0
2020-07-31,ADI,42355646350.0
2021-04-30,ADI,56488930680.0
2022-04-29,ADI,80643480600.0
2023-05-01,ADI,91273285720.0
2024-04-30,ADI,99528639300.0
2025-04-30,ADI,96714041160.0
2020-07-31,ADM,24027630000.0
2021-04-30,ADM,35605320000.0
2022-04-29,ADM,50690960000.0
2023-05-01,ADM,42401000000.0
2024-04-30,ADM,29090571408.0
2025-04-30,ADM,22824500000.0
2020-07-31,ADMA,313082781.0
2021-04-30,ADMA,247029291.0
2022-04-29,ADMA,361289860.0
2023-05-01,ADMA,761577204.0
2024-04-30,ADMA,1515363045.0
2025-04-30,ADMA,5627123464.0
2020-07-31,ADNT,1560832000.0
2021-04-30,ADNT,4365228000.0
2022-04-29,ADNT,3200625000.0
2023-05-01,ADNT,3463821000.0
2024-04-30,ADNT,2703235000.0
2025-04-30,ADNT,1067660000.0
2020-07-31,ADP,56965226000.0
2021-04-30,ADP,79152867000.0
2022-04-29,ADP,90719244000.0
2023-05-01,ADP,91189888000.0
2024-04-30,ADP,98908821000.0
2025-04-30,ADP,122314140000.0
2020-07-31,ADPT,5014764010.0
2021-04-30,ADPT,5838947587.0
2022-04-29,ADPT,1160485128.0
2023-05-01,ADPT,1061323043.0
2024-04-30,ADPT,381963320.0
2025-04-30,ADPT,1098075406.0
2020-07-31,ADSK,51920028000.0
2021-04-30,ADSK,64220200000.0
2022-04-29,ADSK,41073760000.0
2023-05-01,ADSK,42044580000.0
2024-04-30,ADSK,45975600000.0
2025-04-30,ADSK,58963750000.0
2020-07-31,ADT,6551460930.0
2021-04-30,ADT,7046482399.0
2022-04-29,ADT,6614044900.0
2023-05-01,ADT,6076091160.0
2024-04-30,ADT,5919147000.0
2025-04-30,ADT,6919447480.0
2020-07-31,ADTN,595625940.0
2021-04-30,ADTN,827993410.0
2022-04-29,ADTN,854248970.0
2023-05-01,ADTN,714697919.0
2024-04-30,ADTN,345205320.0
2025-04-30,ADTN,605837060.0
2020-07-31,ADUS,1505731380.0
2021-04-30,ADUS,1665080400.0
2022-04-29,ADUS,1355306680.0
2023-05-01,ADUS,1420657471.0
2024-04-30,ADUS,1544457450.0
2025-04-30,ADUS,1897373400.0
2020-07-31,ADV,2241250000.0
2021-04-30,ADV,4079531474.0
2022-04-29,ADV,1601646292.0
2023-05-01,ADV,424674085.0
