date,ticker,close,d2c,shorts,volume,trend_score,news_volume,wiki_views
2020-10-30,AAL,11.28,3.14,172765872,55107304,15.5,12,7010
2020-11-13,AAL,12.24,1.93,141817804,73589497,15.5,21,5491
2020-11-30,AAL,14.13,1.76,141848467,80739188,20.0,41,7820
2020-12-15,AAL,17.01,1.59,160823723,101002470,22.5,54,6571
2020-12-31,AAL,15.77,3.13,171336981,54682584,16.0,48,7490
2021-01-15,AAL,15.76,3.06,152632087,49881830,15.5,31,7781
2021-01-29,AAL,17.17,1.13,97372491,86164326,31.0,49,6484
2021-02-12,AAL,17.27,2.23,80222948,35915035,20.5,25,6476
2021-02-26,AAL,20.94,1.49,76349014,51413003,18.5,26,6013
2021-03-15,AAL,25.17,1.75,73850983,42229762,19.5,58,6965
2021-03-31,AAL,23.9,1.93,78767115,40710631,15.0,31,5749
2021-04-15,AAL,22.13,3.15,86313185,27405923,13.5,44,5457
2021-04-30,AAL,21.72,2.5,90791904,36339502,14.0,49,5513
2021-05-14,AAL,22.4,2.93,84496920,28844040,11.0,19,7055
2021-05-28,AAL,24.24,2.65,83756250,31641606,12.0,22,4829
2021-06-15,AAL,22.79,2.76,81067596,29404738,10.0,26,7713
2021-06-30,AAL,21.21,3.37,89581312,26617246,10.5,31,5280
2021-07-15,AAL,20.46,3.17,91490076,28871308,9.5,35,6393
2021-07-30,AAL,20.38,2.32,83947070,36109839,11.0,54,6029
2021-08-13,AAL,19.84,2.75,90551765,32973319,9.0,13,16565
2021-08-31,AAL,19.94,3.91,102606597,26249420,8.0,16,14432
2021-09-15,AAL,19.38,3.18,97302382,30569002,7.0,31,7209
2021-09-30,AAL,20.52,2.63,90225324,34339212,8.0,29,10470
2021-10-15,AAL,19.98,3.31,90155881,27261807,7.5,21,5990
2021-10-29,AAL,19.2,3.51,95586408,27270113,7.0,27,5763
2021-11-15,AAL,20.32,2.37,72512021,30543563,7.5,35,5679
2021-11-30,AAL,17.69,2.62,98852946,37761527,8.5,21,4560
2021-12-15,AAL,16.99,2.07,102466793,49398182,9.0,41,5084
2021-12-31,AAL,17.96,2.92,94009375,32183749,7.5,28,4928
2022-01-14,AAL,18.49,2.4,85910105,35742135,7.0,26,4694
2022-01-31,AAL,16.47,2.19,99736816,45453393,7.5,45,5970
2022-02-15,AAL,18.84,2.11,85982026,40835012,8.5,8,8651
2022-02-28,AAL,17.25,2.22,85388260,38491758,7.5,13,4566
2022-03-15,AAL,15.57,1.64,107079664,65113871,9.5,33,4931
2022-03-31,AAL,18.25,2.28,92673521,40625184,8.0,16,5384
2022-04-14,AAL,19.0,2.45,92187959,37704257,7.0,20,5074
2022-04-29,AAL,18.77,2.12,82687055,39014704,8.5,50,5275
2022-05-13,AAL,16.58,2.49,84424604,33963040,5.5,3,4671
2022-05-31,AAL,17.87,2.87,86820513,30262451,5.5,13,6061
2022-06-15,AAL,13.31,2.42,89898867,37158045,6.5,21,5499
2022-06-30,AAL,12.68,2.13,82820725,38888358,6.0,35,5497
2022-07-15,AAL,14.47,2.0,77025213,38420545,5.5,31,5291
2022-07-29,AAL,13.71,2.27,80568807,35473161,6.5,32,5780
2022-08-15,AAL,15.33,2.8,72812357,26002536,5.0,16,6976
2022-08-31,AAL,12.99,3.21,77580601,24180108,4.5,22,6611
2022-09-15,AAL,14.27,2.81,80135453,28473285,4.0,11,4861
2022-09-30,AAL,12.04,2.35,85910127,36557079,5.0,11,4804
2022-10-14,AAL,13.11,2.12,86287305,40695500,5.0,24,4279
2022-10-31,AAL,14.18,2.41,86494438,35925592,4.5,34,5224
2022-11-15,AAL,14.61,3.37,91398791,27137045,4.0,9,4468
2022-11-30,AAL,14.43,3.87,86500008,22360508,3.0,9,4418
2022-12-15,AAL,12.93,2.97,82137120,27641093,4.0,14,5857
2022-12-30,AAL,12.72,4.12,89809671,21817703,4.0,16,6352
2023-01-13,AAL,17.02,2.3,89509418,38875971,5.0,44,5838
2023-01-31,AAL,16.14,2.83,83755982,29608454,5.5,34,7590
2023-02-15,AAL,16.8,3.68,72374027,19657727,4.5,8,6336
2023-02-28,AAL,15.98,3.14,62797137,20011740,4.0,11,5828
2023-03-15,AAL,13.86,2.74,58555191,21394877,4.0,16,6197
2023-03-31,AAL,14.75,3.01,59495122,19791993,4.0,9,6069
2023-04-14,AAL,12.79,2.2,66281716,30073642,5.0,26,6263
2023-04-28,AAL,13.64,2.27,69945489,30769080,5.0,22,5990
2023-05-15,AAL,14.28,2.86,62193100,21759204,5.0,14,6950
2023-05-31,AAL,14.78,2.52,64331669,25496270,4.5,30,6621
2023-06-15,AAL,16.65,2.97,63593527,21422948,5.0,12,5865
2023-06-30,AAL,17.94,3.05,67911978,22275357,5.0,8,6179
