ticker,ingresso,uscita
ITT,2020,2021
RETA,2020,2024
HBI,2020,0
UTHR,2020,2021
EVBG,2020,0
AGCO,2020,2021
ACC,2020,2021
EWBC,2020,2021
GPS,2020,2024
TOL,2020,2021
NYCB,2020,0
H,2020,2021
STAG,2020,2021
QLYS,2020,2024
FLO,2020,2021
SDGR,2020,0
KIM,2020,2021
UA,2020,0
UAA,2020,0
APPF,2020,2024
TTEK,2020,2021
HELE,2020,0
ORI,2020,2021
RARE,2020,0
PRI,2020,2023
GMED,2020,2021
PSTG,2020,2021
CZR,2020,2021
IDA,2020,0
PEGA,2020,0
VRT,2020,2023
WWD,2020,2021
PENN,2020,0
LSTR,2020,2021
NATI,2020,2023
ALLO,2020,0
SAIC,2020,2023
LSI,2020,2021
WING,2020,2023
CHH,2020,2021
IVZ,2020,2021
QTS,2020,2022
MSA,2020,2023
ASH,2020,0
AXLA,2020,2021
MMS,2020,0
RUN,2020,0
NVRO,2020,0
MIDD,2020,2021
QRTEA,2020,2023
CUZ,2020,0
DXC,2020,0
AN,2020,2021
DAR,2020,2021
SKX,2020,2021
CFR,2020,2021
TREE,2020,0
NTNX,2020,2021
MDLA,2020,2022
XFOR,2020,2021
USFD,2020,2021
SNDR,2020,0
HAE,2020,0
NOV,2020,2021
PBCT,2020,2021
TNET,2020,2021
ARWR,2020,0
SLAB,2020,0
EXPO,2020,0
CCMP,2020,2021
ENV,2020,0
KNSL,2020,2022
LANC,2020,2023
JEF,2020,2021
MRO,2020,2021
BLD,2020,2021
LFUS,2020,2021
HFC,2020,2021
NEWR,2020,2024
TRGP,2020,2021
IOVA,2020,0
FCN,2020,2022
YETI,2020,0
ALK,2020,2021
XAIR,2020,2021
MRCY,2020,0
FFIN,2020,0
MEDP,2020,2023
SLGN,2020,0
ALSN,2020,2024
STWD,2020,2021
RAPT,2020,0
LSCC,2020,2021
SSD,2020,2023
FCNCA,2020,2021
TPX,2020,2023
ETRN,2020,2024
GBT,2020,2023
LOPE,2020,0
RDFN,2020,0
TRNO,2020,2022
WH,2020,2021
NEU,2020,2024
NEOG,2020,0
GO,2020,0
HUN,2020,0
PLNT,2020,2021
CCOI,2020,0
BPMC,2020,2024
OGS,2020,0
BRKS,2020,2021
IART,2020,0
ESNT,2020,2024
MAN,2020,0
TFSL,2020,0
HOG,2020,0
CRUS,2020,0
HIW,2020,0
POST,2020,2023
RLI,2020,2021
NKTR,2020,0
HE,2020,0
HQY,2020,2024
POR,2020,0
NXST,2020,2021
HR,2020,2023
SWX,2020,2024
LCI,2020,2021
TXRH,2020,2021
FRPT,2020,2024
AYI,2020,2021
BOKF,2020,2021
NTRA,2020,2023
DVN,2020,2021
NVTA,2020,2024
MAT,2020,2021
GPK,2020,2021
ARMK,2020,2021
OMF,2020,2024
MUSA,2020,2022
ICUI,2020,0
EQC,2020,0
DKS,2020,2021
VVV,2020,2021
MNTA,2020,2021
THG,2020,0
ONEM,2020,2024
JBGS,2020,0
PSB,2020,2022
RYN,2020,0
EME,2020,2021
PPC,2020,2021
FOLD,2020,0
CHNG,2020,2021
OPTN,2020,2024
MTH,2020,2024
HALO,2020,0
EQT,2020,2021
FOXF,2020,0
CW,2020,2021
MSGS,2020,0
TPR,2020,2021
NCLH,2020,2021
PFGC,2020,2021
NFG,2020,0
QMCO,2020,2021
ALLK,2020,2024
MSM,2020,2023
IRDM,2020,0
ARNA,2020,2022
HLI,2020,2022
RXN,2020,2021
POWI,2020,0
NOVT,2020,2023
CCXI,2020,2023
FLS,2020,2024
SMTC,2020,0
ESGR,2020,0
WWE,2020,2023
BKH,2020,0
HPP,2020,0
PAG,2020,2021
ADC,2020,2022
ASGN,2020,0
WAL,2020,2024
FTDR,2020,0
CLDR,2020,2022
APPN,2020,0
LPX,2020,2024
SRC,2020,2021
BXMT,2020,0
UNF,2020,0
VICR,2020,0
XRX,2020,0
UNM,2020,2021
PSN,2020,2024
BAND,2020,0
PFSI,2020,0
NVST,2020,0
IRTC,2020,0
PINC,2020,0
UFPI,2020,2024
VAC,2020,0
COO,2020,2023
PVH,2020,2023
HAIN,2020,0
KWR,2020,0
CNNE,2020,0
TKR,2020,2023
ENR,2020,0
ALRM,2020,0
VRNS,2020,0
SF,2020,2021
WMS,2020,2021
BRX,2020,2021
WSC,2020,2021
AWI,2020,2024
UBSI,2020,0
CRI,2020,0
SLG,2020,0
WSM,2020,2024
